isolate_name	collection_date	last_modified	type	lineage	originating lab	submitting lab	id	duplicate
A/NewYork/04/2014	2014-01-25T05:00:00Z	2014-03-21T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1010	FALSE
A/NewYork/10/2014	2014-04-08T04:00:00Z	2014-05-21T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1119	FALSE
A/NewYork/08/2014	2014-04-01T04:00:00Z	2014-06-11T04:00:00Z	A/H3N2		 New York City Department of Health 	 Centers for Disease Control and Prevention	1120	FALSE
A/NewYork/07/2014	2014-02-10T05:00:00Z	2014-06-11T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1121	FALSE
A/NewYork/16/2014	2014-03-26T04:00:00Z	2014-08-08T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1124	FALSE
A/NewYork/11/2014	2014-04-28T04:00:00Z	2014-08-11T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1125	FALSE
A/NewYork/05/2014	2014-01-21T05:00:00Z	2014-08-13T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1126	FALSE
A/NewYork/15/2014	2014-03-31T04:00:00Z	2014-08-22T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1127	FALSE
A/NewYork/12/2014	2014-05-01T04:00:00Z	2014-08-22T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1128	FALSE
A/NewYork/13/2014	2014-04-30T04:00:00Z	2014-08-22T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1129	FALSE
A/NewYork/14/2014	2014-04-25T04:00:00Z	2014-08-22T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1130	FALSE
A/NewYork/17/2014	2014-08-28T04:00:00Z	2014-10-20T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1131	FALSE
A/NewYork/01/2015	2015-01-02T05:00:00Z	2015-02-11T05:00:00Z	A/H3N2		 New York City Department of Health 	 Centers for Disease Control and Prevention	1146	FALSE
A/NewYork/37/2014	2014-10-23T04:00:00Z	2015-07-14T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1176	FALSE
A/NewYork/4160/2014	2014-12-08T05:00:00Z	2015-08-19T04:00:00Z	A/H3N2		  	 Other Database Import	1177	FALSE
A/NewYork/4161/2014	2014-12-04T05:00:00Z	2015-08-19T04:00:00Z	A/H3N2		  	 Other Database Import	1178	FALSE
A/NewYork/4162/2014	2014-12-05T05:00:00Z	2015-08-19T04:00:00Z	A/H3N2		  	 Other Database Import	1179	FALSE
A/NewYork/4163/2014	2014-12-08T05:00:00Z	2015-08-19T04:00:00Z	A/H3N2		  	 Other Database Import	1180	FALSE
A/NewYork/4164/2014	2014-12-19T05:00:00Z	2015-08-19T04:00:00Z	A/H3N2		  	 Other Database Import	1181	FALSE
A/NewYork/56/2015	2015-07-19T04:00:00Z	2015-10-08T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1190	FALSE
A/NewYork/64/2015	2015-08-10T04:00:00Z	2015-10-14T04:00:00Z	A/H3N2		 New York State Department of Health 	 Centers for Disease Control and Prevention	1191	FALSE
